ARTICLE_NUMBER,ARTICLE_TITLE,CONTENT_TYPE
KB0998205,How to subcribe to Patch Release notifications,Support and Troubleshooting
KB0683345,Mutual authentication to end point fails with javax.net.ssl.SSLHandshakeException: Received fatal alert: bad_certificate,Support and Troubleshooting
KB1227866,ServiceNow banner logo on Next Experience UI is showing broken image,Support and Troubleshooting
KB0961251,Any object integration in workspace,Support and Troubleshooting
KB0958529,On-Prem customer unable to download app from store due to incorrect Instance version reflected in HI,Support and Troubleshooting
KB0994141,"Using gr.chooseWindow() in the """"Reference Choice"""" doesnt fetch the exact 'value' identified by the NLU model.",Support and Troubleshooting
KB0823973,Improve Event Management event processing by decoupling Alert and Incident Management activities,Support and Troubleshooting
KB0550122,"When a user flags a knowledge article in the Knowledge v3 UI, the comment is not visible on the page until the page is refreshed",Known Error
KB0747641,"Performance Analytics Data Collection Job fails with: """"Error collecting for xxxxxxxx java.lang.NullPointerException  at com.snc.pa.dc.Breakdown.getElements(Breakdown.java:96) ",Support and Troubleshooting
KB0623141,Exporting PDF dashboard results in error,Known Error
KB0955621,"Governance, Risk, and Compliance (GRC) Dependency-Only Apps",Support and Troubleshooting
KB0993378,Export FAQ,Support and Troubleshooting
KB1224543,"Perform Refresh Member accounts discovery is stuck in active state because of """"service_account_reload"""" system commands in ECC queue ",Known Error
KB1436560,Creating a case via record producer with a variable set of type Multi Row only retains the last added row,Known Error
KB0621870,"On the User form, the ""Refresh from LDAP"" link does not work on LDAP servers with a MID Server",Support and Troubleshooting
KB0596964,Icons missing from the ServiceNow interface in Windows 10 or 11,Support and Troubleshooting
KB1273367,Catalog Builder homepage shows all catalog items regardless of logged in user,Known Error
KB0858465,Importing OIDC Well Known Configuration Failed. The OIDC Metadata URL specified is already configured in another OIDC provider,Support and Troubleshooting
KB1195328,"Client Script not working for form views due to """"Uncaught TypeError: Cannot read properties of undefined (reading 'style')""""",Support and Troubleshooting
KB0957794,Time zone picker in System Settings does not show time zones,Support and Troubleshooting
KB1588193,認証情報のテストで「JSONObject テキストは、文字 1 で「{」から始まる必要があります」というエラーが返される,Support and Troubleshooting
KB0621883,Line charts that trend by a date field per week do not properly display records for a group when week is split between two years,Known Error
KB0761165,Cause of duplicate nodes in the em_unique_nodes table which affects licensing,Known Error
KB1274228,How to install application dependencies from the ServiceNow Store,Support and Troubleshooting
KB0965337,Instance Data Replication (IDR)- After Clone: Out of Order error messages are seen,Known Error
KB0858705,Dashboard sharing: User/Role/Group does not appear if not in the first batch of the result list,Support and Troubleshooting
KB0866981,INSERT/UPDATE error messages within idr_replication_payload_error due to table hierarchy,Support and Troubleshooting
KB0816020,TypeError: Cannot read property 'type' of undefined is displayed in browser console after clicking Save/Submit button on a form.,Support and Troubleshooting
KB0724949,"When Live feed is enabled, feedback comment does not appear on knowledge page when posted with a star rating.",Support and Troubleshooting
KB0754811,Some Choices of Multiple Choice variable can not be displayed on the form if choices are added to the variable via direct input into the Question Choices table in the list view,Support and Troubleshooting
KB0678122,Applying a template to a new Change Request record (change_request.do) does not work if the template contains an empty value for a  reference field with the type List,Known Error
KB0999282,Activity stream/ journal fields/ work notes/ additional comments are displaying HTML code,Support and Troubleshooting
KB0962277,Mid Server requests stuck in processing in ECC Queue,Support and Troubleshooting
KB0681251,CMDB Query Builder,Support and Troubleshooting
KB0814011,List  Export to Excel  may contain missing  column data when exporting large tables including referenced fields,Support and Troubleshooting
KB0722916,Switch between front and back camera for QR barcode reading with the ServiceNow mobile app,Support and Troubleshooting
KB0957411,Decision Table API - inactive decision returned,Known Error
KB0993704,Submit Catalog Item Request fails if a variable value contains an unescaped double quote,Known Error
KB0792638,Azure AD Authentication Configuration / Logout URL causes test connection failure,Support and Troubleshooting
KB0957959,Enhancement: Aggregation for 'Percentage' in reporting module,Support and Troubleshooting
KB1193075,Unable to Add Users to Security Incident Response Groups,Support and Troubleshooting
KB1179042,When a user is trying to access the MS teams tab when they have a custom URL set up for the instance it shows the tab is Loading...,Known Error
KB1588853,Flow failed due to error 'Error While fetching Process plan for the subflow',Support and Troubleshooting
KB0830891,Not able to link Inactive Incidents(Closed) to Problem record,Support and Troubleshooting
KB1582075,Enterprise Controlled Documents Standard Operating Procedure - POL0020213 - 7.1,CORE
KB0868921,Discovery Subscriptions from Azure Service Principal failed.,Support and Troubleshooting
KB0754926,some users cannot see catalog categories on the service portal,Support and Troubleshooting
KB0727745,Agent Intelligence | Error while training solution | Training terminated due to Exception,Support and Troubleshooting
KB1436972,タスクテーブルのステータスフィールドでフィルタリングすると、[タスク] をレポートするときに一部のラベルが欠落/重複する (「自分のグループ作業」など),Support and Troubleshooting
KB1080189,"Invalid and misleading error message: ""MID Server encryption keys do not match and are no longer valid. To restore proper functionality, invalidate and re-validate the MID Server"" for mTLS enabled MID Servers",Known Error
KB0966687,SAM - Subscription Maintenance job throwing errors when there no related entitlements records on the instance,Known Error
KB0819427,Fields missing in Easy import Excel template .,Support and Troubleshooting
KB0785170,Package Call Removal Utility Results – Unable to convert packages call because class does not exist.,Support and Troubleshooting
KB1588710,Archiving functionality for encrypted fields support,Support and Troubleshooting
KB1302373,Utah Patch 1 Hot Fix 1a: Known Errors,Known Error
KB0722923,"Patterns fail with ""The number of rows in the table has reached the maximum limit of 20,000""",Support and Troubleshooting
KB0867724,Software Asset Management: SaaS Intergration profile for Microsoft not visible,Support and Troubleshooting
KB0811747,"AD flow configured to use MID Server fails with the error """"Authentication failure with the local MID server service credential""""",Support and Troubleshooting
KB0999115,Menu Item does not open destination URL in the Employee Center portal,Known Error
KB1539784,"Copied to clipboard"""" copy permalink popup window not showing in Utah unless user scrolls all the way up",Known Error
